x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0.0,0.0,0.0,-0.027344150939902653,-0.0063173134623000496,0.026507869737187037,-0.05028163197247669,-0.011623208768280109,0.05088264098661607,-0.07536981292842179,-0.010644628589160763,0.07028088402644003,-0.09966833799654135,-0.007333829646080505,0.08801123825007284,-0.09751278681817216,-2.9986172659173758e-18,0.0217641813811805,-0.12862390325248133,-0.003765305181526174,0.028952642141026615,-0.15009075943948524,-0.008647628141295577,0.0339807158680025,-0.16689621436855717,-0.03026094512024645,0.03604720168717783,-0.09942661271655852,-9.201899200473913e-19,-4.860266974690121e-19,-0.13851371075428626,-0.004835863304754467,0.0026472721361903415,-0.16436820748498193,-0.016214025878827483,-0.0008940758330529513,-0.1883234993765721,-0.027776740314012303,0.002606107657589755,-0.09436932459833708,-0.009547720756066079,-0.015181194259359973,-0.1280820664604424,-0.015736713774887737,-0.018308461991021947,-0.15170505056166234,-0.02703425708502958,-0.018840515414318096,-0.1732950959928032,-0.03900161984314486,-0.015305855800655379,-0.07995393135740403,-0.01979948236318117,-0.02974176801394771,-0.10336870907842907,-0.021149261384200903,-0.034401112927502905,-0.12366451815838302,-0.026289035933620572,-0.03692335698400341,-0.14437476374637453,-0.03410891382153708,-0.03512277273100489
0.0,0.0,0.0,-0.027483862672796695,-0.006461099285774223,0.026373856366043384,-0.050258802354222545,-0.01145350803647786,0.05062274660863358,-0.07521147746396412,-0.010286299537444145,0.07023151595465307,-0.09932017545429828,-0.006750725411888248,0.08800815564787601,-0.09730461417503776,1.331077744157144e-18,0.0215666830882835,-0.12834952734492916,-0.0037838402805816834,0.028928339663191874,-0.14989888112007327,-0.008926198571677844,0.03410645819266083,-0.1665978831358037,-0.030592997432216093,0.03621745834274804,-0.09928294279502806,1.1090136018895089e-18,3.911417287957932e-19,-0.13835771198187952,-0.004738044017930903,0.0026425576656174286,-0.1641011544375559,-0.016471487420544943,-0.0008154754622411819,-0.1882827102717553,-0.02814273768874189,0.00259845673491812,-0.09420789398740201,-0.009566341996639235,-0.015012567071147204,-0.12779201619902714,-0.015704843410925734,-0.018258793716278063,-0.15151360374910838,-0.02690935374885535,-0.018684478564189505,-0.1732340715874778,-0.03927027739291247,-0.015266318231643688,-0.07975789654276746,-0.019804678087986895,-0.029559730561177215,-0.10315339771012484,-0.020923892855756222,-0.034277784799405256,-0.12341541308675336,-0.025993652410144855,-0.036695390175457546,-0.14415143686055448,-0.03419701697462876,-0.03495318307320133
0.0,0.0,0.0,-0.027540622081953427,-0.006435756814042069,0.02621397067610806,-0.05016631995942672,-0.011416878875057653,0.05033418449853996,-0.07511203208485973,-0.010513486964869671,0.06965033198286086,-0.09877296367661119,-0.007114195259185059,0.08695663500592253,-0.09740260480597857,4.847499782746484e-19,0.02145078595159358,-0.12843519771923695,-0.003632311622925939,0.028969998274111827,-0.14991862342702955,-0.008786471481225761,0.03423678274216056,-0.16676866317311229,-0.030321024535537366,0.036426293815821166,-0.09941137137771931,-1.0530482174971121e-19,1.3706693297708487e-20,-0.1385278457572747,-0.004615818736072324,0.0027848922389310297,-0.16419412495510938,-0.016270788115914647,-0.0007665654492896154,-0.18841135329714742,-0.027846608245716303,0.002537199672553686,-0.0943813811173172,-0.00953681503540904,-0.014931509889956843,-0.12792165193337351,-0.01568562935852387,-0.018196109950979703,-0.15174017835375225,-0.026735929131490643,-0.018690536409283826,-0.17346671427436738,-0.03892849938950593,-0.015310880565192907,-0.07994127221840305,-0.019767021475048024,-0.029415638842193288,-0.10327536153002598,-0.02078899953383221,-0.034136500782738596,-0.12354712711098054,-0.025838901545947278,-0.03658366368065755,-0.14427927641869281,-0.034052607120220374,-0.03491991065415003
0.0,0.0,0.0,-0.027556970506486304,-0.006500950783596964,0.02623188808249425,-0.05006395747079039,-0.01147773206162116,0.050248665181648285,-0.07502702128535428,-0.010883451432960656,0.06913983516567931,-0.09833713857552318,-0.007718868532862928,0.0857913100322106,-0.097382193564301,2.2360725653495428e-18,0.021455996513641752,-0.1284283473924009,-0.0035137515675479746,0.029045960188582444,-0.14990607749697563,-0.008643565233846654,0.03430628734849789,-0.16677721443890636,-0.030050382027929208,0.036628632201824884,-0.09936865774598383,1.978595744678042e-18,1.7641459783926516e-19,-0.1385284038987897,-0.0045464754797545194,0.0027863364060815724,-0.16412973300983524,-0.016193946006800176,-0.0007900857403345801,-0.18840991975889726,-0.027785795688393167,0.002463473157515275,-0.09431699459340889,-0.009551765759686678,-0.014887232632038182,-0.12788424900632983,-0.015772944140614056,-0.01814571726268204,-0.15175951581744082,-0.02675586087400786,-0.018657605857803294,-0.1734239292400199,-0.038866895645901324,-0.015311103625663614,-0.07983403064268305,-0.019810082163182644,-0.029304389159914013,-0.10317290441312565,-0.020747699769261066,-0.03399264668601061,-0.12353730089693099,-0.025690896570132356,-0.036503374854245665,-0.14424691130002665,-0.03388622492136607,-0.034820717720553854
0.0,0.0,0.0,-0.027571457714208047,-0.006538595225274031,0.0261837382548792,-0.05014162296333037,-0.011619968453140091,0.050018898276968295,-0.07517471340186896,-0.011370293965042548,0.06841385553957127,-0.09814941601560692,-0.008542769199267202,0.0840972974308857,-0.09749195264563776,1.5063832056131092e-18,0.021469910880771458,-0.12854765085647613,-0.0034165044784970023,0.029072664572577993,-0.14999438196426323,-0.00843319889320934,0.03428070611713836,-0.1669337865345087,-0.029659397445085323,0.03660628851947624,-0.09943264451368711,1.0518518853053743e-18,-1.6501814613356468e-19,-0.1386192777331517,-0.004422363811352768,0.002729415638328952,-0.16415163141577144,-0.015947887007636052,-0.0009217762376341831,-0.18849317502815094,-0.02748716204996893,0.0022524614311408703,-0.09432772127210864,-0.0095247574375978,-0.01490145205119697,-0.1278972336886302,-0.015740256449814014,-0.018167192476785315,-0.1518671108020509,-0.026613344755506932,-0.01877092766872728,-0.1735201724343399,-0.0385273171775534,-0.01551552869522666,-0.07978689250767243,-0.0197641911563792,-0.02930262416343777,-0.10310567544829437,-0.020597358131897548,-0.03394276276752865,-0.12353897756169369,-0.025450107453002017,-0.03651210497122279,-0.1442109413260364,-0.033623779525633765,-0.034840869201759876
0.0,0.0,0.0,-0.027577329815270214,-0.006566631031111325,0.02618651986853917,-0.05016400884527751,-0.011798039003476778,0.049793647590212695,-0.07522299915675455,-0.01201821013695751,0.0676257195370924,-0.09780464953429707,-0.009566112386193518,0.08231526896532718,-0.09758493782985782,1.4778092547695825e-18,0.021517920418736784,-0.1286035467282952,-0.003371764626760254,0.02910346853417126,-0.1499846958988187,-0.008307494813393951,0.034271053959593026,-0.16703278859757356,-0.029373491355698368,0.0366332087939808,-0.09945200889530542,9.721179528273055e-19,-5.000739633296913e-20,-0.13862294702227523,-0.0043480611111536525,0.002706828492968694,-0.16410263811366244,-0.015834523672249582,-0.0009937335706273135,-0.18852913890219614,-0.027380964370193633,0.002090223709374699,-0.09433170487912496,-0.009500115327199396,-0.014910882191520418,-0.12785212835863152,-0.015772843412068603,-0.01814191165340856,-0.15187388564916332,-0.026574345510484834,-0.018829081202162663,-0.17351588880224697,-0.0383800379811442,-0.01564151191231742,-0.07969742099802035,-0.019740686010544607,-0.02928551059139608,-0.1029754300393517,-0.020520736923356882,-0.03387396177842725,-0.1234990502060432,-0.02527090576092103,-0.0364709219394669,-0.14413818311154616,-0.03342437438038101,-0.03482009843282105
0.0,0.0,0.0,-0.027557033135029798,-0.0065590861551855775,0.026195524632397386,-0.05024139719595417,-0.01195263965984126,0.04952976193533331,-0.0753107654873014,-0.012715468070791769,0.06668448972476551,-0.09740539319186739,-0.01068430263265642,0.08013163292656375,-0.09771380046823197,1.0082274229294159e-18,0.02157803166399864,-0.1286594131151927,-0.0033343536662803555,0.029123371585303794,-0.15000312426543802,-0.008153073154708925,0.034226585455921874,-0.16716318039269273,-0.02902380589910436,0.03662386087895747,-0.09948974805751237,8.155637362060946e-19,1.134215765377205e-19,-0.1386167522060957,-0.004309039700923119,0.0026394183198235523,-0.16402853907048684,-0.015739833529662278,-0.0011409832128563941,-0.18852153962007379,-0.02729872026141176,0.0018679207226725168,-0.09433878515044854,-0.009481304263378162,-0.014936821141977894,-0.12779314625185922,-0.01585167651266995,-0.018142002352368795,-0.15184358911092766,-0.02659842215178292,-0.01892549422752527,-0.17347561403883807,-0.038284583319287635,-0.015813956235568926,-0.07957739431250851,-0.01972448442874901,-0.029329948169266554,-0.10280075641259592,-0.020433210479534128,-0.033827788306287604,-0.12343730359483208,-0.025093716370550294,-0.036468372949832364,-0.1440488167986202,-0.03318413243820099,-0.034817969010385794
0.0,0.0,0.0,-0.027602533745564345,-0.006577643423797509,0.026183469066105067,-0.05032863366115463,-0.012259103013544513,0.04916022269334176,-0.07540284021918547,-0.013843125680086558,0.0655534440655544,-0.09691768859015146,-0.012428770721893804,0.07761158614824935,-0.09796633599382958,1.9236029576051907e-19,0.021632407710664332,-0.12883998263728597,-0.0032376563838400914,0.029146278686906717,-0.15012853226845413,-0.007875635066641178,0.03417850768791583,-0.16746425626382522,-0.02848232720132075,0.03658829409657553,-0.09962549509410748,2.2946265052791407e-19,-1.487746019902117e-19,-0.13872192852126664,-0.0041210692359552725,0.002552410651665722,-0.1641036187713912,-0.015391871615090987,-0.0012717994199033214,-0.18869575843451084,-0.026859234974818263,0.001621031498591444,-0.09447917965322564,-0.009450419825765121,-0.014941375988760771,-0.1278495673095643,-0.015778492079875403,-0.01813376543033731,-0.15193775216143618,-0.02632276729065662,-0.01902834917387689,-0.17356225154094312,-0.03779010414770871,-0.01605344924794169,-0.0795697995392736,-0.019686956715944823,-0.02931840300080174,-0.1027344878634008,-0.020293370574408755,-0.03375515460201271,-0.12349026517170976,-0.024766044113514782,-0.03643528193507264,-0.14407818952817913,-0.032721137966110536,-0.034864106436855516
0.0,0.0,0.0,-0.02760657522480813,-0.006579229075441635,0.026204690479660897,-0.050461980784407834,-0.012634743486255696,0.04877309519428573,-0.07553653796722685,-0.015161009940808757,0.0642148977330075,-0.0964601533837652,-0.01444994882881377,0.0746577667877619,-0.0981499419147951,-1.0917247615987436e-19,0.021716579980389967,-0.1289763372874137,-0.0030996189471394885,0.02917323565625619,-0.1502303431632066,-0.007516485667139496,0.03410763251292215,-0.16780388018649262,-0.027788861422566556,0.03660691420258946,-0.09966944740522915,-3.3857959154767106e-20,1.1175140111065078e-20,-0.1387655386686311,-0.0038729467442166236,0.002453119353298611,-0.1640898036428166,-0.014962485626429586,-0.0014360539570108832,-0.1888833857260212,-0.02639097921805251,0.0013532533504073837,-0.09454084148236425,-0.009397001917614708,-0.014926888239175071,-0.12783438692391785,-0.015676668914123677,-0.018088782864420144,-0.15198375365476163,-0.02601647153801121,-0.019070770102354938,-0.17363068473940244,-0.03722386146225594,-0.016210702608163048,-0.07947359870668338,-0.01961370332681104,-0.029275247676426513,-0.10257820939881407,-0.020077713715156528,-0.03364753007316285,-0.123507025990123,-0.024370025276101406,-0.03635155560360221,-0.14405743901695744,-0.032156442148954946,-0.0347924434380239
0.0,0.0,0.0,-0.02767276007907326,-0.006555490533060614,0.026135368521434738,-0.05066331115518699,-0.012918101281956933,0.0482109482914837,-0.07573600380342602,-0.01637297673827318,0.06263143444797017,-0.09592965695361186,-0.01633958447164757,0.0713243417709666,-0.09851987912458073,-3.1178971758240113e-19,0.0217753861383993,-0.12920361286968135,-0.0029605349556177537,0.02912622525160881,-0.150399585667695,-0.0071117942758393915,0.03394715768219912,-0.1682005243139921,-0.026947628591103348,0.03641624388951241,-0.0998374901165423,-1.1562618987494998e-19,-1.8091826473630144e-19,-0.13886241373796607,-0.00364642993656138,0.002315179566688922,-0.16410730281189695,-0.014485395436755897,-0.001671474061934358,-0.18907612319436354,-0.025742081747471578,0.0009760491980331048,-0.0947066533572994,-0.009340728352558133,-0.014949708770879068,-0.12785208378160728,-0.015543650417182902,-0.018087570580595895,-0.15200965933434307,-0.025522752654972482,-0.019208554526114967,-0.17369676636229592,-0.03636907897121551,-0.016574867174785318,-0.07943002622355352,-0.019545074116566686,-0.029259668102699414,-0.10247159490610858,-0.019838203795616925,-0.03360459779352624,-0.1235566652273413,-0.0238197965013881,-0.03636755471967067,-0.1440765748529111,-0.03136457938095384,-0.034913600502443506
