x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0.0,0.0,0.0,-0.025719818024340486,-0.006737451241247631,0.02621419587615161,-0.049302288818631024,-0.008309880578360197,0.04871083608454231,-0.07367048129848822,-0.009353640020448833,0.07043257769106952,-0.09504602343767383,-0.004689162916976717,0.08556227484709282,-0.09479602901375914,1.7528025577495557e-17,0.022471813608930316,-0.12186997249176641,-0.003636931550187552,0.033290818362406556,-0.14070302681353497,-0.00668762950037474,0.040306159365127665,-0.15727880936562894,-0.026351259863579328,0.0464064709302706,-0.09506113463878303,1.659152636492526e-17,5.947934347652663e-19,-0.13336295527195138,-0.0032684710944770774,0.0029001556117614602,-0.15653195749643461,-0.014209604886657052,-0.0026554451238420865,-0.18082175964540823,-0.02426444452578101,-0.0010807591852356783,-0.09055264458835705,-0.009592766477274809,-0.016125154027450007,-0.1217046878522438,-0.01509217426314625,-0.021159616688998316,-0.1448912688780635,-0.024051233630533558,-0.024038930393490907,-0.16670020820153206,-0.0331532852484831,-0.024083245306957622,-0.07540577968667808,-0.018567078112349908,-0.030216611038696207,-0.0976214192143813,-0.019124821126462188,-0.037719044334345,-0.11701269075606416,-0.021227881569572064,-0.04376528736360456,-0.13560751593725412,-0.027364387949605013,-0.044393630275310486
0.0,0.0,0.0,-0.02557155881272484,-0.00675702314576746,0.026073848552457268,-0.0492739098448337,-0.008210147912743939,0.048696996950041586,-0.07364601911647523,-0.00902816693116466,0.07046027764789808,-0.09499815194869254,-0.004211377841389961,0.08555801759550244,-0.09484357746205115,-8.57312022723205e-18,0.02247291485136813,-0.12181717319078736,-0.003805612559077812,0.033213493995793826,-0.14051221520686846,-0.006990009957345072,0.04030060346324188,-0.1570766673763827,-0.02664947968276275,0.046579577281989096,-0.09515315660539111,-6.4621366297608554e-18,-4.2287359888470297e-20,-0.13333853162406956,-0.003446075810928673,0.0028501962872389515,-0.15644804985731606,-0.014476110241090129,-0.002685588963112636,-0.18083379300816121,-0.024827763491461027,-0.0010639495194946981,-0.09056155622970469,-0.009632753692858095,-0.016177147540815836,-0.12174609483684228,-0.015255686154587594,-0.02111664066449064,-0.14494907451539502,-0.024294913995499715,-0.024014301716046575,-0.16680636237303925,-0.03361465229163155,-0.023938827134881966,-0.07536486962728259,-0.018593779449414947,-0.030281543702205538,-0.0976346504674901,-0.019332561053236243,-0.03770427880987416,-0.11706404448694632,-0.021566293183293304,-0.04375370786385864,-0.1356443081809883,-0.027775324134875948,-0.04428590932117719
0.0,0.0,0.0,-0.025519133398560236,-0.006792160715205621,0.026014093940567334,-0.049321281155572536,-0.008125475033328531,0.04870608230295245,-0.07369352778574326,-0.008733330535417356,0.07050153457272065,-0.09505324930937271,-0.00385590000495362,0.08551546202601512,-0.09493477513278674,8.201986955236093e-19,0.022495515986116883,-0.1218863104868182,-0.003889006227050787,0.033183398379613385,-0.14049154541509787,-0.00714648449645208,0.040293473302482896,-0.15701796369240814,-0.02677032161439015,0.04670549606013575,-0.09528473842349515,7.996133928495998e-19,-4.464254557012444e-20,-0.1333969991059965,-0.0035064198145988114,0.0027872006464035874,-0.1564832091865966,-0.014601036078351719,-0.002719286584968008,-0.18086846712941665,-0.025129281698719256,-0.0010392535718273508,-0.09061709166122847,-0.009651694935684423,-0.01620358016764504,-0.12182766272944509,-0.015319874259575272,-0.021080939318006475,-0.145055292884065,-0.02439988139598172,-0.0239828410431664,-0.16692091398140113,-0.033861004153455616,-0.02380845480242989,-0.07536837944751958,-0.01861169086534082,-0.030328372904676822,-0.09764890789769422,-0.019455324443365046,-0.03772150709131705,-0.11708660089830002,-0.02173275372531326,-0.04379295580736075,-0.1356525762793606,-0.027970777826218287,-0.0442403758697668
0.0,0.0,0.0,-0.025758417877983494,-0.00670981108040142,0.02603558197758695,-0.04955017717571002,-0.0082341510718994,0.048595886951930435,-0.07410620474495844,-0.00910454297719041,0.07038064481796395,-0.09556763528905889,-0.004374809460727261,0.08534609487773526,-0.09506566007511376,1.2210691094069515e-18,0.022397419191259423,-0.12231665350262101,-0.0037114773210719537,0.03297761712999044,-0.14104336617471483,-0.0067125142765522925,0.040060690763221524,-0.15767527415823182,-0.0261283770303294,0.04603089727826892,-0.09530167759906101,1.4823031845815938e-18,-1.1942874580981575e-18,-0.1336769055207395,-0.0032981545893221503,0.0025459602775019536,-0.1567322284239681,-0.01401698261648496,-0.0030019284792228615,-0.1809885692566004,-0.024131358286664423,-0.0014544592755594457,-0.09072300422449063,-0.00957270121349921,-0.016338441019348563,-0.12201075514288241,-0.015004533931621428,-0.0212969658867894,-0.14531749208936146,-0.02387913576316377,-0.02443056351896405,-0.16687039540890847,-0.03286161921452292,-0.024271074345532308,-0.07549416174850543,-0.01850357795215164,-0.030570234035164054,-0.09773546596763655,-0.01933163259287128,-0.038004216520047436,-0.11721053929280255,-0.021413115456556223,-0.044288630828929774,-0.13558059214301957,-0.027394790441852945,-0.04479283919409402
0.0,0.0,0.0,-0.025799538954441648,-0.00674390307529026,0.02592192290271483,-0.0495895311730063,-0.0083154713337872,0.04851200799918799,-0.07409316853346402,-0.009273134668810974,0.07027440128949777,-0.09543748464123039,-0.004586427951937597,0.08527037420202671,-0.09509481326612552,4.48293348359684e-18,0.022348168306367718,-0.1223272137257319,-0.0037156460417385965,0.032970578049512894,-0.1411003368568957,-0.006738009979730364,0.03999257980090486,-0.157758616363421,-0.026144395425692146,0.045992311662424866,-0.09536646987417037,6.999962647457073e-18,7.19278322583695e-20,-0.13365518043101274,-0.0032811476298454413,0.00258323736517548,-0.15674447869004288,-0.013858112082226539,-0.002992781318056623,-0.18098317066216074,-0.02376656573647778,-0.0015105620245822197,-0.09077879349539948,-0.009515068311260352,-0.01632729934850558,-0.12199788153333399,-0.014921619440352335,-0.021289163727566892,-0.14524985925363657,-0.023643324915402768,-0.02440690821935384,-0.16686352963808251,-0.03251034106266822,-0.02440753829903972,-0.0755746116769338,-0.018433774776512136,-0.030504020808223044,-0.09775170426101727,-0.01919941924146145,-0.038000124672096396,-0.11718505720729486,-0.021136797383087658,-0.0443278721479491,-0.13559304915127962,-0.027035908136280602,-0.04489311708079589
0.0,0.0,0.0,-0.02564334979062527,-0.006776683417652877,0.025860470940065067,-0.04938167577751845,-0.008265314645936512,0.048533441326453125,-0.07366469213187676,-0.00915072290687827,0.07021917899352023,-0.09474840154948097,-0.004309261944231347,0.08524742691235304,-0.09495692890323863,4.341576521173002e-18,0.022378145688642312,-0.12198742177303375,-0.004000796826237213,0.033065237166549036,-0.14067124478378895,-0.007362040455147088,0.04017500163527966,-0.15713963424452648,-0.026978769424656053,0.046423662743151586,-0.09533770964088835,4.404424465188503e-18,-3.94731523000046e-19,-0.1334636753540567,-0.0036963192073031373,0.0027937768626962365,-0.1564765558488174,-0.014615567856155025,-0.002644412107676169,-0.1806958127377458,-0.02495364603450438,-0.0011252566921890973,-0.09070461763109657,-0.009575389435874196,-0.016358575276661833,-0.12183630534990492,-0.015282567858644437,-0.021236856394143393,-0.14498803903146806,-0.024204662844030583,-0.024227062007712394,-0.16668221070786243,-0.03346184433345475,-0.024157362327716286,-0.075484328800389,-0.018561664509407005,-0.030495055917304607,-0.09762249584423507,-0.019503633072601858,-0.03793313862694363,-0.1170209261358522,-0.021583476260295595,-0.044374063246259136,-0.13543041298736685,-0.027799479945168026,-0.04489554980666913
0.0,0.0,0.0,-0.025941174556174094,-0.00671568475884067,0.02582919435423538,-0.04973510647976807,-0.008126173488086754,0.048386063155600754,-0.07419626776354253,-0.00922379033352837,0.06984005342644765,-0.09488118894423712,-0.0042642566046919165,0.08485713041017297,-0.09500120845625472,-7.508470050446276e-18,0.022209794789960633,-0.12220049847252691,-0.0037692761652648845,0.03285557409467231,-0.14109917090482196,-0.006969401881811632,0.04005347289690513,-0.15760150745964258,-0.026381678421141416,0.04618869343273415,-0.09545209013580686,-1.0423755532459901e-17,2.8550943666793274e-19,-0.13352326812309082,-0.00366249304804314,0.0025954963564590256,-0.15649109008934212,-0.014257646052141082,-0.0027983179364171316,-0.1807932726362415,-0.02417129080296986,-0.0014247341314552033,-0.0908333472240027,-0.009490457151701043,-0.016378942384170314,-0.12193333188583533,-0.015061882379786135,-0.02145425766293359,-0.1450184540064244,-0.023866766855807825,-0.02455425935234093,-0.16659763797861316,-0.03282872413650413,-0.024626744023403025,-0.07568960567098944,-0.01851450814471723,-0.030594774357061635,-0.09779238576590892,-0.019426883198892998,-0.03807714924613802,-0.11705593412100682,-0.021354706572966637,-0.04469164391340082,-0.13545131945988434,-0.027283281730066423,-0.04517690831041758
0.0,0.0,0.0,-0.026052335189493608,-0.00669004001378562,0.02587298594220709,-0.04983435519452069,-0.007956527070531879,0.04841829129045395,-0.07432496108206765,-0.009245962218142707,0.06972155745987403,-0.09470591530466964,-0.004164324059675218,0.08463353226054546,-0.09496485664214147,3.124581615300551e-18,0.022184657599115157,-0.12214072865261036,-0.0037650269715349257,0.03285519255962273,-0.14105959495111,-0.006929712678399996,0.04020879023067572,-0.15759835880869885,-0.026359870722212384,0.04645907013071445,-0.09549369542635201,3.25275564505894e-18,1.19821536696003e-19,-0.1334876573319468,-0.00379793976674354,0.002544896287645794,-0.15641500354428725,-0.014430637005262788,-0.002745572575115239,-0.18080850096948814,-0.024373293134924548,-0.0013573639443119508,-0.0909287168935691,-0.009485015469439566,-0.016394553979437055,-0.12195453854928143,-0.015109949251915137,-0.021574638542930524,-0.14494907983957367,-0.024013311493155252,-0.024674229815556458,-0.16656096166741804,-0.033093347907824394,-0.024673713042740412,-0.07579226594120272,-0.018567964106983754,-0.03064783659718997,-0.09792568248627961,-0.01954540717252201,-0.0381715896563928,-0.1171468962177333,-0.021544168485375548,-0.04488296288467805,-0.13547735848462894,-0.027570776393926726,-0.04526203068612157
0.0,0.0,0.0,-0.026101184959010728,-0.006749074810101667,0.025909451466698125,-0.049950803168755484,-0.007904893742260622,0.04839379338769812,-0.07444157014439623,-0.009206320777360567,0.0696197885645122,-0.09467484522878002,-0.003962092441293468,0.08455445366928523,-0.09506225303325538,-4.9336968379395496e-18,0.02213483628799121,-0.12221160213767353,-0.0038419950794584133,0.03279985728472323,-0.14108073043950617,-0.007008014009875038,0.0402404433908958,-0.15762830732227065,-0.026492583888995704,0.04650593195793974,-0.09559813497481251,-3.1846795795244343e-18,-3.2926165323970885e-19,-0.13354176611489127,-0.0038745291371429093,0.0025075639242429456,-0.1564340698878611,-0.014549326611589796,-0.002711588600426101,-0.18085836535093958,-0.02455245064774306,-0.0013551222458578788,-0.0910255777329364,-0.009472458791521218,-0.016463239950185143,-0.12203397181861049,-0.015099535436453858,-0.021684472305807324,-0.1449603786685923,-0.024150445520670943,-0.024787399965631635,-0.16651894380523038,-0.03329339178729058,-0.024800779751149995,-0.07588375474844078,-0.018559479165876087,-0.030760376264787274,-0.0980213841465496,-0.01960305386280366,-0.0383182190266593,-0.11716311284069528,-0.021654536001572453,-0.04509455709038116,-0.1354298244728147,-0.027704571946477578,-0.04548753385574613
0.0,0.0,0.0,-0.026088774403079214,-0.006649628483984276,0.026088631489995243,-0.04981601010862872,-0.008040945183277335,0.048549342276072986,-0.07417186487747693,-0.009482597210334929,0.06973102769754326,-0.09469182045584834,-0.004408849288115804,0.0846481887301048,-0.09496205509393027,-3.2306193897770992e-18,0.022207019691967297,-0.12218968945164067,-0.003847554549437654,0.03297240913445032,-0.1410065677066558,-0.00703328747583522,0.04040010975243599,-0.15748998308928644,-0.026714570228808427,0.04660550318486289,-0.09547283970783726,-1.7451710533781222e-19,2.4400204823057855e-19,-0.13352994887884148,-0.0036740802368281597,0.002580725490393898,-0.15649681161234408,-0.014430231723713214,-0.0026219205088207267,-0.18071193292632218,-0.02438598145035551,-0.001165752992138952,-0.09099980828536655,-0.009406473495537115,-0.016445381451012275,-0.12196937458684803,-0.014982398113320082,-0.021662577829309696,-0.14494634322596261,-0.02406470082420721,-0.024724339293963938,-0.1665100230857364,-0.033221949634259916,-0.024630539542004972,-0.07587862779919448,-0.018470471891923447,-0.03073329105734315,-0.09792004826901547,-0.01943745494858463,-0.038315154344448335,-0.1170718638603673,-0.021577729436365236,-0.0450318826889062,-0.13534031022686083,-0.027714076833314723,-0.04540685961745814
